issue,dest_key,dest_heading,dest_story,present_kind,present_source_id,present_source_content,present_source_story,present_source_style
missing_margin_number,480,1.1.1 Methods of navigation,u7b37,underlined_word,u36068,"chapter, section or paragraph number is referenced",u7b37,CharacterStyle/link
missing_margin_number,85,14.12 Input and output,u7b37,underlined_word,u132e7,prompts for a value in a program,u7b37,CharacterStyle/link
missing_margin_number,16973,21.2.4 Stack Align,u7b37,underlined_word,u4b899,DM32 Setup,u7b37,CharacterStyle/link
missing_margin_number,134,SUMS,u7b37,underlined_word,u152aa,SUMS menu,u7b37,CharacterStyle/link
missing_underlined_word,5094,10.1.1 Entering one-variable data,u7b37,margin_number,u3ed58,10.1.1,u3d798,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5095,10.1.3 Correcting data-entry errors,u7b37,margin_number,u3ed78,10.1.3,u3d7b6,CharacterStyle/code_styles%3across_ref
missing_underlined_word,8,11.4 Viewing and selecting equations,u7b37,margin_number,u158eb,11.4,u158d7,CharacterStyle/code_styles%3across_ref
missing_underlined_word,8,11.4 Viewing and selecting equations,u7b37,margin_number,u8025,11.4,u7c16,CharacterStyle/code_styles%3across_ref
missing_underlined_word,8,11.4 Viewing and selecting equations,u7b37,margin_number,u158c8,11.4,u1588e,CharacterStyle/code_styles%3across_ref
missing_underlined_word,8,11.4 Viewing and selecting equations,u7b37,margin_number,u159fb,11.4,u159e7,CharacterStyle/code_styles%3across_ref
missing_underlined_word,8,11.4 Viewing and selecting equations,u7b37,margin_number,u1599c,11.4,u15988,CharacterStyle/code_styles%3across_ref
missing_underlined_word,8,11.4 Viewing and selecting equations,u7b37,margin_number,u15977,11.4,u15963,CharacterStyle/code_styles%3across_ref
missing_underlined_word,8,11.4 Viewing and selecting equations,u7b37,margin_number,u269b3,11.4,u2695f,CharacterStyle/code_styles%3across_ref
missing_underlined_word,8,11.4 Viewing and selecting equations,u7b37,margin_number,u159c4,11.4,u159b0,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5119,11.4.2 To view a long equation by scrolling,u7b37,margin_number,u3fc7d,11.4.2,u3e69c,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5123,11.5.2 Evaluation using XEQ,u7b37,margin_number,u3ff45,11.5.2,u3e918,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5099,11.6.1 Variables in equations,u7b37,margin_number,u3ef61,11.6.1,u3d91f,CharacterStyle/code_styles%3across_ref
